date,pump_id,vibration_mm_s,motor_temp_c,discharge_pressure_psi,failing_within_7d,health_status
2025-07-01,Basin_B_Pad1,2.224,67.4,1744.3,0,Healthy
2025-07-02,Basin_B_Pad1,2.161,68.2,1795.8,0,Healthy
2025-07-03,Basin_B_Pad1,2.251,69.6,1771.5,0,Healthy
2025-07-04,Basin_B_Pad1,2.342,67.8,1768.9,0,Healthy
2025-07-05,Basin_B_Pad1,2.135,67.3,1747.6,0,Healthy
2025-07-06,Basin_B_Pad1,2.385,66.8,1801.8,0,Healthy
2025-07-07,Basin_B_Pad1,1.816,68.7,1745.8,0,Healthy
2025-07-08,Basin_B_Pad1,2.442,65.7,1715.7,0,Healthy
2025-07-09,Basin_B_Pad1,2.134,68.0,1782.7,0,Healthy
2025-07-10,Basin_B_Pad1,2.185,69.3,1733.6,0,Healthy
2025-07-11,Basin_B_Pad1,2.203,65.5,1729.4,0,Healthy
2025-07-12,Basin_B_Pad1,2.37,67.6,1752.8,0,Healthy
2025-07-13,Basin_B_Pad1,2.171,66.2,1774.8,0,Healthy
2025-07-14,Basin_B_Pad1,2.088,67.4,1743.2,0,Healthy
2025-07-15,Basin_B_Pad1,2.126,67.6,1757.8,0,Healthy
2025-07-16,Basin_B_Pad1,2.078,66.5,1701.5,0,Healthy
2025-07-17,Basin_B_Pad1,1.937,69.2,1768.5,0,Healthy
2025-07-18,Basin_B_Pad1,2.181,67.0,1778.5,0,Healthy
2025-07-19,Basin_B_Pad1,2.213,66.0,1751.5,0,Healthy
2025-07-20,Basin_B_Pad1,2.031,68.1,1738.4,0,Healthy
2025-07-21,Basin_B_Pad1,2.178,67.7,1760.7,0,Healthy
2025-07-22,Basin_B_Pad1,2.288,69.0,1726.5,0,Healthy
2025-07-23,Basin_B_Pad1,2.146,68.5,1724.6,0,Healthy
2025-07-24,Basin_B_Pad1,2.146,69.1,1684.1,0,Healthy
2025-07-25,Basin_B_Pad1,2.257,67.7,1729.5,0,Healthy
2025-07-26,Basin_B_Pad1,2.327,69.2,1767.6,0,Healthy
2025-07-27,Basin_B_Pad1,2.452,67.3,1754.8,0,Healthy
2025-07-28,Basin_B_Pad1,2.059,68.7,1769.8,0,Healthy
2025-07-29,Basin_B_Pad1,2.272,67.7,1764.6,0,Healthy
2025-07-30,Basin_B_Pad1,2.189,69.8,1736.5,0,Healthy
2025-07-31,Basin_B_Pad1,2.075,67.0,1718.5,0,Healthy
2025-08-01,Basin_B_Pad1,2.158,67.9,1801.6,0,Healthy
2025-08-02,Basin_B_Pad1,2.08,68.5,1728.2,0,Healthy
2025-08-03,Basin_B_Pad1,2.086,67.8,1768.0,0,Healthy
2025-08-04,Basin_B_Pad1,2.188,67.6,1754.0,0,Healthy
2025-08-05,Basin_B_Pad1,2.163,67.9,1738.6,0,Healthy
2025-08-06,Basin_B_Pad1,2.309,67.0,1731.8,0,Healthy
2025-08-07,Basin_B_Pad1,2.412,69.5,1761.5,0,Healthy
2025-08-08,Basin_B_Pad1,2.07,68.6,1757.0,0,Healthy
2025-08-09,Basin_B_Pad1,2.243,67.8,1805.0,0,Healthy
2025-08-10,Basin_B_Pad1,2.1,67.0,1790.0,0,Healthy
2025-08-11,Basin_B_Pad1,1.947,,1786.6,0,Healthy
2025-08-12,Basin_B_Pad1,2.294,66.7,1761.6,0,Healthy
2025-08-13,Basin_B_Pad1,1.992,67.3,1799.7,0,Healthy
2025-08-14,Basin_B_Pad1,2.179,68.2,1720.5,0,Healthy
2025-08-15,Basin_B_Pad1,2.247,67.7,1765.3,0,Healthy
2025-08-16,Basin_B_Pad1,2.17,67.8,1750.4,0,Healthy
2025-08-17,Basin_B_Pad1,1.963,68.1,1795.4,0,Healthy
2025-08-18,Basin_B_Pad1,2.077,68.5,1747.4,0,Healthy
2025-08-19,Basin_B_Pad1,2.116,71.0,1767.6,0,Healthy
2025-08-20,Basin_B_Pad1,2.166,67.0,1795.7,0,Healthy
2025-08-21,Basin_B_Pad1,2.087,68.1,1733.6,0,Healthy
2025-08-22,Basin_B_Pad1,2.139,66.2,1689.6,0,Healthy
2025-08-23,Basin_B_Pad1,2.3,68.3,1761.7,0,Healthy
2025-08-24,Basin_B_Pad1,2.113,69.3,1756.2,0,Healthy
2025-08-25,Basin_B_Pad1,2.059,72.1,1736.5,0,Healthy
2025-08-26,Basin_B_Pad1,2.211,67.9,1732.3,0,Healthy
2025-08-27,Basin_B_Pad1,2.064,69.4,1727.6,0,Healthy
2025-08-28,Basin_B_Pad1,2.294,66.6,1811.1,0,Healthy
2025-08-29,Basin_B_Pad1,2.226,66.2,1770.9,0,Healthy
2025-08-30,Basin_B_Pad1,2.413,70.4,1737.5,0,Degrading
2025-08-31,Basin_B_Pad1,2.687,70.1,1760.5,0,Degrading
2025-09-01,Basin_B_Pad1,2.85,73.7,1725.8,0,Degrading
